,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:
49,Ford,Bronco,2022,SUV / crossover,Carbonized Gray Metallic,Dark Space Gray,0 mi,1FMEE5DP4NLB49458,T37407,"$85,000",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
50,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Blue (STONE),22 mi,1FMEE5DP6NLB08152,NLB08152,"$85,040",Grand Prairie Ford,"701 E. Palace Parkway Grand Prairie, TX 75050",Wildtrak Advanced 4-Door 4WD
51,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP4NLB30618,T37301,"$85,165",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
52,Ford,Bronco,2022,SUV / crossover,Cyber Orange Tricoat,LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP6NLB30670,T37291,"$87,455",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
53,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),LTHR-TRM/VINYL SSTONE/BLK STS BLACK ONYX INTERIOR,0 mi,1FMEE5DP1NLB32438,T37290,"$87,480",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
54,Ford,Bronco,2022,SUV / crossover,Blue (Area 51),Dark Space Gray,0 mi,1FMEE5DP6NLB32497,T37326,"$88,825",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",
55,Ford,Bronco,2022,SUV / crossover,,,,1FMDE5BH8NLA99865,A99865,"$102,000",Carrio MotorCars,"5120 N State Road 7 Ft. Lauderdale, FL 33319",Big Bend 4-Door 4WD
56,Ford,Bronco,2022,SUV / crossover,Carbonized Gray,CLOTH GRAY,0 mi,1FMDE5CH3NLB11483,T37173,4WD,Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Outer Banks Advanced 2-Door 4WD
57,Ford,Bronco,2022,SUV / crossover,Chili Pepper Red,Black (blk),,1FMDE5CP4NLB43754,7259E5C,"$77,915",Town East Ford,"18411 L.B.J. Fwy. Mesquite, TX 75150",Advanced 2-Door 4WD
58,Ford,Bronco,2022,SUV / crossover,Iconic Silver,Black Onyx,0 mi,1FMEE5BP3NLB24179,X24179,4WD,Planet Ford Dallas,"3333 Inwood Road Dallas, TX 75235",Big Bend 4-Door 4WD
