,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gasage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
65,Ford,Maverick,2022,Pickup truck,Oxford White,Black OnyxMedium Dark Slate,8,3FTTW8E90NRA67741,NRA67741,25490,North Central Ford,1819 North Central Expressway Richardson TX 75080,XL SuperCrew FWD,,,,0,,,,,,,,,,,,,
66,Ford,Maverick,2022,Coupe,Iconic Silver,Black OnyxMedium Dark Slate,0,3FTTW8E96NRA84009,NRA84009,32675,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
67,Ford,Maverick,2022,Coupe,Blue Area 51,Black OnyxMedium Dark Slate,0,3FTTW8E9XNRA83302,NRA83302,32690,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
68,Ford,Maverick,2022,Coupe,Gray Cactus Grey,Black OnyxMedium Dark Slate,2,3FTTW8E9XNRA77130,NRA77130,33225,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
69,Ford,Maverick,2022,Coupe,Velocity Blue,Black OnyxMedium Dark Slate,0,3FTTW8E95NRA78654,NRA78654,33400,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
70,Ford,Maverick,2022,Coupe,Gray Cactus Grey,Black OnyxMedium Dark Slate,0,3FTTW8F97NRA83921,NRA83921,34795,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
71,Ford,Maverick,2022,Pickup truck,Gray Cactus Grey,Desert Brown,29,3FTTW8F94NRA74786,NRA74786,47840,Grapevine Ford Lincoln,801 E State Highway 114 Grapevine TX 76051,Lariat SuperCrew AWD,,,,0,,,,,,,,,,,,,
72,Ford,Maverick,2022,Coupe,Gray Carbonized Grey Metallic,Blue Navy PierMedium Slate,0,3FTTW8F93NRA77856,NRA77856,39355,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
73,Ford,Maverick,2022,Pickup truck,Gray,Gray,193,3FTTW8F98NRA45047,2001820371,41990,Carvana,701 E. Palace Parkway Grand Prairie TX 75050,XLT SuperCrew AWD,,,,0,,,,,,,,,,,,,
74,Ford,Maverick,2022,Coupe,Velocity Blue Metallic,Desert Brown,0,3FTTW8E94NRA78290,NRA78290,42955,Grand Prairie Ford,701 E. Palace Parkway Grand Prairie TX 75050,,,,,0,,,,,,,,,,,,,
