,Make:,Model:,Year:,Trim:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:
61,Jeep,Wrangler,2022,Rubicon 4WD,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4JJXFG0NW160687,NW160687,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235"
62,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXEG0NW215705,NW215705,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235"
63,Jeep,Wrangler,2022,Willys 4WD,SUV / crossover,Sarge Green Clearcoat,Black,,1C4HJXDGXNW156812,22J0267,4WD,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093"
64,Jeep,Wrangler,2022,Rubicon 392 4WD,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4JJXSJ0NW237768,NW237768,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235"
65,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,,1C4HJXEN4NW232585,NW232585,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235"
66,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Bright White Clearcoat,White (Clx9),,1C4JJXP62NW197987,51652177,"$59,380",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
67,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Hydro Blue Pearl Coat,Blue (Clx9),,1C4JJXP60NW274551,53822626,"$63,385",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018"
68,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Black Clearcoat,Black,4 mi,1C4JJXP69NW197999,197999,"$59,775",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116"
69,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Bright White Clearcoat,Dark Saddle/Black,,1C4JJXP68NW260722,NW260722,"$55,336",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
70,Jeep,Wrangler,2022,Sahara 4WD,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4JJXP65NW239486,NW239486,"$55,422",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607"
