,Dealer's Price:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,Cabin Size:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Delivery:,Price + Delivery:,Battery Performance:,NHTSA Overall Safety Rating:
41,No Price Listed,"$47,905","Hutto, TX
26 mi away",0 miles,,Shadow Black,Dark Gray w/Black Onyx,,270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH7NLB12346,224121,New,4WD,Bronco,Covert Ford Hutto,"1200 US Highway 79, #B<br>Hutto, TX 78634",,,,
42,No Price Listed,Not Provided,"Austin, TX
12 mi away",0 miles,Automatic,Oxford White,Black (Lthtrm/Vnyl Sstone/Blk St),"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMDE5CP8NLB31462,2225607,New,4WD,Bronco,Covert Ford Lincoln-Austin,"11514 Research Blvd<br>Austin, TX 78759",,,,
43,No Price Listed,Not Provided,"Georgetown, TX
28 mi away",0 miles,Automatic,White,,"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP9NLB07528,221435,New,4WD,Bronco,Mac Haik Ford Lincoln,"7201 South IH-35<br>Georgetown, TX 78627",,,,
44,No Price Listed,Not Provided,"Georgetown, TX
28 mi away",0 miles,Automatic,Gray,,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH3NLB16037,221505,New,4WD,Bronco,Mac Haik Ford Lincoln,"7201 South IH-35<br>Georgetown, TX 78627",,,,
45,No Price Listed,Not Provided,"Austin, TX
12 mi away",0 miles,Automatic,Shadow Black,Black Onyx,"20 MPG City
21 MPG Highway
20 MPG Combined",270 hp 2.3L I4,Four-Wheel Drive,Gasoline,,1FMDE5BH2NLB21925,2225613,New,4WD,Bronco,Covert Ford Lincoln-Austin,"11514 Research Blvd<br>Austin, TX 78759",,,,
46,No Price Listed,Not Provided,"Austin, TX
12 mi away",0 miles,Automatic,Gray,Black (Lthtrm/Vnyl Sstone/Blk St),"19 MPG City
20 MPG Highway
19 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP2NLB07614,2221207,New,4WD,Bronco,Covert Ford Lincoln-Austin,"11514 Research Blvd<br>Austin, TX 78759",,,,
47,"$58,674",Not Provided,"Austin, TX
3 mi away","7,707 miles",Automatic,OTHER,,"17 MPG City
18 MPG Highway
17 MPG Combined",310 hp 2.7L V6,Four-Wheel Drive,Gasoline,,1FMEE5DP2MLA90053,MLA90053,New,"$58,674",Bronco,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
48,"$31,855","$31,855","Austin, TX
3 mi away",10 miles,Automatic,Blue (Area 51),,"22 MPG City
29 MPG Highway
25 MPG Combined",250 hp 2L I4,All-Wheel Drive,Gasoline,Crew Cab,3FTTW8F96NRA66348,C778W8F,New,"$31,855",Maverick,Maxwell Ford,"5000 South IH-35<br>Austin, TX 78745",,,,
49,"$31,855","$31,855","Vernon, TX
285 mi away",0 miles,Automatic,Oxford White,Blue (Navy Pier/Medium Slate),"22 MPG City
29 MPG Highway
25 MPG Combined",250 hp 2L I4,All-Wheel Drive,Gasoline,Crew Cab,3FTTW8F96NRA78323,F14452,New,"$32,284",Maverick,Vernon Ford,"2803 Wilbarger St<br>Vernon, TX 76384",$429,"$32,284",,
50,"$41,990",Not Provided,,193 miles,8-Speed Automatic,Gray,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",250 hp 2L I4,All-Wheel Drive,Gasoline,Crew Cab,3FTTW8F98NRA45047,2001820371,New,"$41,990",Maverick,Carvana,"2803 Wilbarger St<br>Vernon, TX 76384",Free,"$41,990",,
51,"$42,990",Not Provided,,229 miles,8-Speed Automatic,Blue,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",250 hp 2L I4,All-Wheel Drive,Gasoline,Crew Cab,3FTTW8F99NRA41511,2001774094,New,"$42,990",Maverick,Carvana,"2803 Wilbarger St<br>Vernon, TX 76384",Free,"$42,990",,
52,"$43,590",Not Provided,,58 miles,8-Speed Automatic,Gray,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",250 hp 2L I4,All-Wheel Drive,Gasoline,Crew Cab,3FTTW8F98NRA53665,2001829203,New,"$43,590",Maverick,Carvana,"2803 Wilbarger St<br>Vernon, TX 76384",Free,"$43,590",,
