VIN Number,MSRP,Dealer's Price,Price,Make,Model,Year,Transmission,Mileage,Dealer Name,Dealer Address
1C4HJXDNXNW253569,"$45,225 ","$42,125 ","$42,125 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN8NW242280,"$42,980 ","$42,980 ","$43,379 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDG9NW226056,"$43,480 ","$43,480 ","$43,879 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDG1NW225029,"$43,920 ","$43,920 ","$43,920 ",,Wrangler,2022,8-Speed Automatic,---,Boerne Dodge Chrysler Jeep Ram,"30300 I-10 West Boerne, TX 78006"
1C4HJXDG6NW224829,"$44,880 ","$44,880 ","$45,279 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDG9NW181815,"$46,150 ","$45,650 ","$45,650 ",,Wrangler,2022,8-Speed Automatic,11 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4HJXDNXMW815680,Not Provided,"$45,835 ","$45,835 ",,Wrangler,2022,Automatic,8 miles,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233"
1C4HJXDG2NW181817,"$46,545 ","$46,045 ","$46,045 ",,Wrangler,2022,8-Speed Automatic,11 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4HJXDNXNW201424,"$45,820 ","$45,820 ","$46,219 ",,Wrangler,2022,Automatic,0 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDM8NW231982,"$49,875 ","$46,775 ","$46,775 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG7NW181814,"$47,045 ","$47,045 ","$47,045 ",,Wrangler,2022,8-Speed Automatic,11 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4HJXDG5NW181813,"$47,045 ","$47,045 ","$47,045 ",,Wrangler,2022,8-Speed Automatic,11 miles,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009"
1C4HJXDGXNW231427,"$50,670 ","$47,570 ","$47,570 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN1NW223831,"$46,365 ","$47,365 ","$47,685 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4HJXDG3NW231429,"$51,065 ","$47,965 ","$47,965 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDG2NW227579,"$51,370 ","$48,270 ","$48,270 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN3NW223832,"$47,010 ","$48,010 ","$48,330 ",,Wrangler,2022,8-Speed Automatic,2 miles,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840"
1C4HJXEN2NW118228,"$48,130 ","$48,130 ","$48,529 ",,Wrangler,2022,Automatic,6 miles,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035"
1C4HJXDG8NW231426,"$51,765 ","$48,665 ","$48,665 ",,Wrangler,2022,8-Speed Automatic,0 miles,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079"
1C4HJXDN7NW222313,"$48,685 ","$48,685 ","$48,829 ",,Wrangler,2022,Automatic,0 miles,Neessen Chrysler Dodge Jeep Ram,"2151 N US Highway 77 Byp Kingsville, TX 78363"
