Unnamed: 0,Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Stock number:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Stock #:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
53,Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,0 mi,1C4HJXEN5NW243918,NW243918,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
54,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,0 mi,1C4HJXEN7NW243919,NW243919,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
55,Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,0 mi,1C4HJXEN8NW243914,NW243914,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
56,Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,0 mi,1C4HJXEN0NW243910,NW243910,"$48,530",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sahara 4WD,,,,,,,,,,,,,,,,,
57,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXDM3NW272858,54015016,"$48,605",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
58,Jeep,Wrangler,2022.0,SUV / crossover,Black,Brown (Heritage Tan/Black),0 mi,1C4HJXDG8NW231426,231426,"$48,665",Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",High Tide 4WD,,,,,,,,,,,,,,,,,
59,Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black (A7x9),,1C4HJXDM3NW272861,54015256,"$48,835",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport 4WD,,,,,,,,,,,,,,,,,
60,Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4HJXDM1NW272860,54015019,"$49,000",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
61,Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,,1C4HJXDM5NW272859,54015017,"$49,000",Tomball Dodge Chrysler Jeep,"23777 Highway 249 Tomball, TX 77375",Sport S 4WD,,,,,,,,,,,,,,,,,
62,Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,0 mi,1C4HJXDN0NW267836,NW267836,"$49,010",River Oaks Chrysler Jeep Dodge Ram,"4807 Kirby Drive Houston, TX 77098",Sport S 4WD,,,,,,,,,,,,,,,,,
